"RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearEx","DoorType","StNo","HaulNo","Year","Month","Day","TimeShot","DepthStratum","HaulDur","DayNight","ShootLat","ShootLong","HaulLat","HaulLong","StatRec","Depth","HaulVal","HydroStNo","StdSpecRecCode","BySpecRecCode","DataType","Netopening","Rigging","Tickler","Distance","Warplngt","Warpdia","WarpDen","DoorSurface","DoorWgt","DoorSpread","WingSpread","Buoyancy","KiteDim","WgtGroundRope","TowDir","GroundSpeed","SpeedWater","SurCurDir","SurCurSpeed","BotCurDir","BotCurSpeed","WindDir","WindSpeed","SwellDir","SwellHeight","SurTemp","BotTemp","SurSal","BotSal","ThermoCline","ThClineDepth","CodendMesh","SecchiDepth","Turbidity","TidePhase","TideSpeed","PelSampType","MinTrawlDepth","MaxTrawlDepth","DateofCalculation"
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",402,87,2012,8,11,805,NA,30,"D",57.6905,1.598,57.7222,1.5958,"44F1",93,"V","74SC0343",1,1,"C",4.5,NA,NA,3506,310,28,NA,4.5,1100,77,18,186,0.7,NA,360,3.8,3.8,326,0.2,NA,-9,315,3,315,0.1,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB","74E9","GOV",40,"S","P",68,234,2012,9,1,940,NA,30,"D",60.4025,1.2432,60.3702,1.2282,"49F1",140,"V",NA,1,1,"R",4.2,NA,NA,3653,460,NA,NA,-9,NA,89,23,NA,-9,NA,194,3.9,-9,133,0.4,NA,-9,200,20,200,1.5,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB","74E9","GOV",40,"S","P",67,236,2012,9,1,1311,NA,30,"D",60.3232,0.5848,60.29,0.5813,"49F0",132,"V",NA,1,1,"R",4.6,NA,NA,3674,425,NA,NA,-9,NA,85,23,NA,-9,NA,195,4,-9,192,0.4,NA,-9,220,24,220,1,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB","74E9","GOV",40,"S","P",66,237,2012,9,1,1722,NA,30,"D",60.036,-0.4853,60.0057,-0.5103,"49E9",131,"V",NA,1,1,"R",4.7,NA,NA,3717,425,NA,NA,-9,NA,83,22,NA,-9,NA,208,4,-9,343,0,NA,-9,210,31,220,1,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,2,1,2012,8,11,1049,NA,30,"D",58.4145,10.7718,58.4437,10.7533,"45G0",135,"V","1",1,1,"C",4.4,NA,NA,3408,465,NA,NA,6.5,1050,81,-9,168,0.7,811,343,3.6,-9,32,0.3,NA,-9,230,8,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,3,2,2012,8,11,1407,NA,30,"D",58.1698,10.18,58.1588,10.121,"45G0",236,"V","4",1,1,"C",4.8,NA,NA,3593,680,NA,NA,6.5,1050,81,-9,168,0.7,811,248,3.7,-9,9,0.8,NA,-9,220,8,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,6,3,2012,8,12,532,NA,30,"D",57.4698,8.2442,57.4497,8.1988,"43F8",94,"V","5",1,1,"C",4.8,NA,NA,3482,330,NA,NA,6.5,1050,79,-9,168,0.7,811,229,3.8,-9,9,0.6,NA,-9,250,1,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,8,4,2012,8,12,803,NA,30,"D",57.4833,8.4928,57.4683,8.4425,"43F8",68,"V","7",1,1,"C",4.8,NA,NA,3463,250,NA,NA,6.5,1050,76,-9,168,0.7,811,240,3.8,-9,5,0.5,NA,-9,150,1,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,9,5,2012,8,12,1036,NA,28,"D",57.164,8.4182,57.1533,8.3705,"43F8",28,"V","10",1,1,"C",3.2,NA,NA,3111,150,NA,NA,6.5,1050,73,-9,168,0.7,811,245,3.7,-9,27,0.6,NA,-9,30,4,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,12,6,2012,8,12,1252,NA,30,"D",57.2825,8.4752,57.312,8.4873,"43F8",30,"I","10",1,1,"C",5.4,NA,NA,3352,150,NA,NA,6.5,1050,69,-9,168,0.7,811,15,3.7,-9,27,0.4,NA,-9,30,6,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,14,7,2012,8,12,1526,NA,30,"D",57.3333,8.7332,57.3215,8.785,"43F8",26,"I","13",1,1,"C",4.9,NA,NA,3389,150,NA,NA,6.5,1050,71,-9,168,0.7,811,114,3.6,-9,9,0.6,NA,-9,30,7,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
